UserID,FavoriteGenres,WatchedMovies,EvaluationMoviesTheyWillLike,AvgDescriptionReadTimeSeconds,ProfileType
U39,"Mystery, Crime","Waist Deep, I Will Follow, Hotel Transylvania: The Series, Kevin Hart: Don't F**k This Up, Elena, Norm Macdonald Has a Show, Grown Ups","The Babysitter: Killer Queen, The Replacements, We Can Be Heroes",37,Mystery/Crime
U40,"Drama, Mystery, Romance","Contagion, Dragons: Rescue Riders: Secrets of the Songwing, Team Zenko Go, America: The Motion Picture, Weapon of Choice, Get Me Roger Stone, HAPPY!","Hello, Privilege. It's Me, Chelsea, Awakenings, After",19,Drama/Meaningful
U41,"Action, Crime","Maz Jobrani: Immigrant, War Machine, Girlboss, Poms, My Own Man, Trevor Noah: Son of Patricia, Carmen Sandiego: To Steal or Not to Steal","Joe Rogan: Strange Times, The Forty-Year-Old Version, Awake: The Million Dollar Game, The Kissing Booth 3",18,Action/Crime
U42,"Action, Sci-Fi","Weapon of Choice, Jim Gaffigan: King Baby, Adam: His Song Continues, Los Briceño, una familia todo terreno, How to Be A Cowboy, The Blacklist, Jeff Dunham's Very Special Christmas Special","Forgive Us Our Trespasses, Wormwood, Conversations with a Killer: The John Wayne Gacy Tapes",30,Action/Sci-Fi
U43,"Comedy, Romance","Headspace Guide to Meditation, I Don't Feel at Home in This World Anymore, The Principles of Pleasure, Hasan Minhaj: Homecoming King, Todd Glass Talks About Stuff, Hollywood, First Sunday","Extinction, Come Sunday, Cannon Busters",22,Comedy/Romance
U44,"Drama, Romance","The Long Dumb Road, Doom: Annihilation, Inside the Criminal Mind, Blue Jay, Trial 4, Breaking Boundaries: The Science of Our Planet, Small Crimes","David A. Arnold Fat Ballerina, Monty Python: Live at Aspen, Miss Americana",40,Drama/Romance
U45,"Sci-Fi, Thriller","Age of Samurai: Battle for Japan, Major Dad, Arlo the Alligator Boy, 72 Dangerous Animals: Asia, Rush, Chicago Med, You Get Me","The Last Dance, John Mulaney & The Sack Lunch Bunch, Last Chance U",25,Sci-Fi/Thriller
U46,"Fantasy, Adventure","The November Man, Jane the Virgin, Biggie: I Got a Story to Tell, Trollhunters: Tales of Arcadia, Falsa identidad, Brainchild, Mystery Science Theater 3000","Living Undocumented, Silent, Sex, Love & Goop",20,Fantasy/Adventure
U47,"Animation, Family","Raising Dion, Dirty John, Cuba and the Cameraman, No One Gets Out Alive, White Hot: The Rise & Fall of Abercrombie & Fitch, Power Rangers Ninja Steel, Monster-in-Law","Heavy, The Perfect Date, What Would Sophia Loren Do?",15,Animation/Family
U48,"Horror, Thriller","A Princess for Christmas, If Anything Happens I Love You, Justice, Let Me In, Top Gun, Love, Death & Robots, 100 Things to Do Before High School","Sankofa, Sucker Punch, The Speed Cubers",28,Horror/Thriller
U49,"Mystery, Crime","Amar, Our Brand Is Crisis, The Witcher Bestiary Season 1, Part 2, Dogs in Space, The F**k-It List, Metal Shop Masters, The Ryan White Story","It Follows, The Iliza Shlesinger Sketch Show, Strange Weather",35,Mystery/Crime
U50,"Drama, Documentary","Redemption, Frank & Cindy, He Never Died, The Minimalists: Less Is Now, Cleaner, Spenser Confidential, Ada Twist, Scientist","The One, The Saint, Historical Roasts",50,Drama/Meaningful
U51,"Action, Crime, Thriller","Fuller House, Burning Cane, Silent, The Last Samurai, Counterpunch, Velvet Buzzsaw, The Blind Side","Rodney King, Icarus, Holiday Rush",19,Action/Crime
U52,"Action, Sci-Fi, Fantasy","Kiss the Ground, The Beguiled, Girlfriend's Day, Big Eyes, Jiu Jitsu, Cobra Kai - The Afterparty, A Cinderella Story: Christmas Wish","Mo Amer: The Vagabond, Locke & Key, Historical Roasts",33,Action/Sci-Fi
U53,"Comedy, Stand-Up","Self/less, No Escape Room, Mascots, Demetri Martin: Live (At The Time), Breakfast, Lunch & Dinner, Moesha, I Am Michael","Puss in Book: Trapped in an Epic Tale, Lady Driver, Acts of Vengeance",21,Comedy/Romance
U54,"Drama, Romantic","Super Monsters Save Halloween, Desperados, Day of the Dead: Bloodline, The Outcasts, Pee-wee's Big Holiday, Madam Secretary, Song Exploder","Contagion, Iliza Shlesinger: Unveiled, In the Line of Fire",45,Drama/Romance
U55,"Sci-Fi, Horror","Love Actually, Free Rein: Valentine's Day, Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton, Molly's Game, Queer Eye: We're in Japan!, Cursed, Best.Worst.Weekend.Ever.","Amend: The Fight for America, The Other Boleyn Girl, Extraction",27,Sci-Fi/Thriller
U56,"Adventure, Family","An Evening with Beverly Luff Linn, The Innocent Man, The General's Daughter, Michael Che Matters, The Stand In, Jani Dueñas: Grandes fracasos de ayer y hoy, FIGHTWORLD, Kung Fu Panda Awesome Secrets","A Futile and Stupid Gesture, First Sunday, Quantum of Solace",17,Fantasy/Adventure
U57,"Kids, Anime","Father of the Year, The Old Ways, The Starling, Disclosure, Waffles + Mochi, King of Peking, Tim Allen: Rewires America","NCIS, Shimmer Lake, Wind River",12,Animation/Family
U58,"Horror, Mystery","The November Man, Hey Arnold! The Jungle Movie, Colin Quinn: The New York Story, Girlboss, America's Next Top Model, Dark Skies, Only Mine","Anaconda, 13th, War Machine",31,Horror/Thriller
U59,"Crime, Drama","Living with Yourself, The Mars Generation, Juanita, Fear Street: Part One - 1994, The Cat in the Hat Knows a Lot About That!, Gentefied, Reggie Watts: Spatial","The Meaning of Monty Python, Voices of Fire, Dreamworks How to Train Your Dragon Legends",38,Mystery/Crime
U60,"Documentary, Drama","Benji, Monster, Million Dollar Beach House, Bonnie and Clyde, Britney vs. Spears, Transformers: War for Cybertron: Kingdom, Pac’s Scary Halloween","Johnny Test's Ultimate Meatloaf Quest, Nightflyers, GAME ON: A Comedy Crossover Event",55,Drama/Meaningful
